Purchase phase,Category,Item,Qty,Required?,Basis,Source link,Notes,Unit Cost Estimate,Extended Cost Estimate,Quote Status
INITIAL PURCHASE,Battery,2S 4000mAh LiPo battery,1,Yes,Exact Mike4192 battery voltage cell count and capacity,https://www.amazon.com/s?k=2S+4000mAh+LiPo+battery,Mike connects it directly to the servo board; connector and discharge rating are not specified.,18.99,18.99,Estimate; obtain exact compatible quote
INITIAL PURCHASE,Robot regulator,HKU5 5V/5A UBEC,1,Yes,Exact Mike4192 regulator,https://www.amazon.com/s?k=HKU5+5V%2F5A+UBEC,Powers Pi 3 LCD and PCA9685 logic; do not assume compatibility with Pi 4 or Pi 5 without testing.,10.99,10.99,Estimate; exact part may be scarce
INITIAL PURCHASE,Fasteners,M5x15 screws,8,Yes,KDY0523 base-frame quantity,https://www.amazon.com/s?k=M5x15+screws,None,7.0,7.0,Pack estimate
INITIAL PURCHASE,Fasteners,M4x20 screws,40,Yes,KDY0523 base-frame quantity,https://www.amazon.com/s?k=M4x20+screws,None,8.0,8.0,Pack estimate
INITIAL PURCHASE,Fasteners,M4x15 screws,8,Yes,KDY0523 base-frame quantity,https://www.amazon.com/s?k=M4x15+screws,None,7.0,7.0,Pack estimate
INITIAL PURCHASE,Fasteners,M4 nuts,48,Yes,KDY0523 base-frame quantity,https://www.amazon.com/s?k=M4+nuts,None,7.0,7.0,Pack estimate
INITIAL PURCHASE,Fasteners,M3x20 screws,4,Yes,KDY0523 base-frame quantity,https://www.amazon.com/s?k=M3x20+screws,None,7.0,7.0,Pack estimate
INITIAL PURCHASE,Fasteners,M3x10 screws,28,Yes,KDY0523 base-frame quantity,https://www.amazon.com/s?k=M3x10+screws,Reinforced-shoulder additions are future.,8.0,8.0,Pack estimate
INITIAL PURCHASE,Fasteners,M3 nuts,16,Yes,KDY0523 base-frame quantity,https://www.amazon.com/s?k=M3+nuts,Reinforced-shoulder additions are future.,7.0,7.0,Pack estimate
INITIAL PURCHASE,Bearings,F625ZZ flanged bearings,8,Yes,KDY0523 base-frame quantity,https://www.amazon.com/s?k=F625ZZ+flanged+bearings,Reinforced-shoulder additions are future.,1.0,8.0,Estimate
INITIAL PURCHASE,Assembly,Hot glue for attaching servo horns to printed parts,1,Yes,KDY0523 explicitly requires hot glue for the horn attachment,https://www.amazon.com/s?k=Hot+glue+for+attaching+servo+horns+to+printed+parts,Correct spline fit and horn screws remain necessary.,10.0,10.0,Estimate
INITIAL PURCHASE,Test equipment,Handheld oscilloscope signal generator and component tester,1,Yes explicit addition,Explicitly requested for the initial SpotMicro workbench,https://www.amazon.com/s?k=Handheld+oscilloscope+signal+generator+and+component+tester,Used for PWM ripple power and electronics debugging.,43.99,43.99,Reference estimate; obtain exact quote
INITIAL PURCHASE,Test equipment,Current-limited programmable DC supply 0-30V 0-5A class,1,Yes explicit addition,Explicitly requested power supply for the initial SpotMicro workbench,https://www.amazon.com/s?k=Current-limited+programmable+DC+supply+0-30V+0-5A+class,Useful for boards and single-servo tests; not sized for all 12 servos at stall.,69.99,69.99,Reference estimate; obtain exact quote
INITIAL PURCHASE,Workstation,Existing 64-bit x86 Ubuntu 22.04 workstation,1,Yes for MuJoCo and ROS2 Humble,Cometyang MuJoCo simulation and the validated local workflow run on the existing workstation,docs/INSTALL_AND_RUN_MIKE_MUJOCO.md,No new mini PC in the initial phase.,0.0,0.0,Use existing equipment
INITIAL PURCHASE TOTAL,TOTAL,Initial partial subtotal,1,Partial,Sum of priced initial rows,,Support items intentionally deferred to Future Purchase; shipping and tax excluded.,,860.59,Calculated estimate
FUTURE PURCHASE,Servo hardware,Servo horns and horn screws matching the selected servos,12,Future support purchase,Required to connect the Mike/KDY servos to the printed joints,https://www.amazon.com/s?k=Servo+horns+and+horn+screws+matching+the+selected+servos,Confirm spline geometry and whether horns are included with the servos.,4.0,48.0,Estimated; Alanah to confirm horn inclusion and spline
FUTURE PURCHASE,Computer power,Official-compatible 5V 2.5A micro-USB supply for Pi 3,1,Future support purchase,Bench power for the Mike Pi 3 reference controller,https://www.amazon.com/s?k=Official-compatible+5V+2.5A+micro-USB+supply+for+Pi+3,Do not power the Pi from an unknown phone charger.,12.5,12.5,Estimated; Alanah to select
FUTURE PURCHASE,Display cable,HDMI cable for Pi 3,1,Future support purchase,Pi 3 uses a full-size HDMI connector,https://www.amazon.com/s?k=HDMI+cable+for+Pi+3,Skip only if a suitable cable is already available.,8.0,8.0,Estimated; Alanah to select
FUTURE PURCHASE,Battery charging,2S LiPo balance charger with XT60-compatible lead,1,Future support purchase,Required to safely charge the Mike 2S LiPo,https://www.amazon.com/s?k=2S+LiPo+balance+charger+with+XT60-compatible+lead,Select a genuine balance charger; verify the required AC input and charge lead.,99.0,99.0,Estimated; Alanah to source exact model
FUTURE PURCHASE,Battery safety,LiPo fire-resistant charging and storage bag,1,Future support purchase,Required safety support for the LiPo pack,https://www.amazon.com/s?k=LiPo+fire-resistant+charging+and+storage+bag,Use during charging transport and storage.,17.0,17.0,Estimated; Alanah to select
FUTURE PURCHASE,Power harness,Fused XT60 main switch or disconnect,1,Future support purchase,Provides a fast safe robot power disconnect,https://www.amazon.com/s?k=Fused+XT60+main+switch+or+disconnect,Choose a current rating and fuse after measuring the selected servos.,12.0,12.0,Estimated; Alanah to select
FUTURE PURCHASE,Power harness,XT60 connector and adapter kit,1,Future support purchase,Required to build the battery and power-rail harness,https://www.amazon.com/s?k=XT60+connector+and+adapter+kit,Match battery charger and harness polarity.,9.0,9.0,Estimated; Alanah to select
FUTURE PURCHASE,Power harness,14 AWG silicone wire kit,1,Future support purchase,High-current battery and servo rail wiring,https://www.amazon.com/s?k=14+AWG+silicone+wire+kit,Verify ampacity length and routing.,19.0,19.0,Estimated; Alanah to select
FUTURE PURCHASE,Signal wiring,Dupont jumper-wire assortment,1,Future support purchase,Pi PCA9685 and I2C bench wiring,https://www.amazon.com/s?k=Dupont+jumper-wire+assortment,Include male-female and female-female leads.,5.0,5.0,Estimated; Alanah to select
FUTURE PURCHASE,Printing,PLA 1.75mm 1kg filament,4,Future support purchase,KDY frame printing plus test and reprint margin,https://www.amazon.com/s?k=PLA+1.75mm+1kg+filament,KDY specifies PLA and 10-20 percent infill but not total mass.,12.5,50.0,Estimated; Alanah to select
FUTURE PURCHASE,Printing,TPU 1.75mm 1kg filament,1,Future support purchase,Flexible feet and paw material,https://www.amazon.com/s?k=TPU+1.75mm+1kg+filament,Rigid feet may be used for initial testing.,20.0,20.0,Estimated; Alanah to select
FUTURE PURCHASE,Calibration,High-voltage-compatible RC servo tester,1,Future support purchase,Centers and exercises servos before installation,https://www.amazon.com/s?k=High-voltage-compatible+RC+servo+tester,Verify voltage range before attaching the selected servos.,10.0,10.0,Estimated; Alanah to select
FUTURE PURCHASE,Electrical test,Digital multimeter with fused current input,1,Future support purchase,Continuity voltage resistance and short checks,https://www.amazon.com/s?k=Digital+multimeter+with+fused+current+input,Use a reputable safety-rated model.,30.0,30.0,Estimated; Alanah to select
FUTURE PURCHASE,Electrical test,Inline XT60 DC watt and current meter,1,Future support purchase,Measures complete servo-rail current and battery energy,https://www.amazon.com/s?k=Inline+XT60+DC+watt+and+current+meter,Confirm 2S voltage range current rating and polarity.,20.0,20.0,Estimated; Alanah to select
FUTURE PURCHASE,Battery test,2S LiPo cell checker and low-voltage alarm,1,Future support purchase,Monitors individual cell voltage during robot testing,https://www.amazon.com/s?k=2S+LiPo+cell+checker+and+low-voltage+alarm,This does not replace a balance charger.,10.0,10.0,Estimated; Alanah to select
FUTURE PURCHASE,Fabrication,Temperature-controlled soldering station with stand,1,Future support purchase,Required to fabricate reliable power connectors and harnesses,https://www.amazon.com/s?k=Temperature-controlled+soldering+station+with+stand,Inventory the lab before purchasing.,50.0,50.0,Estimated; Alanah to select or mark existing
FUTURE PURCHASE,Fabrication,Electronics solder and flux,1,Future support purchase,Power-harness fabrication consumables,https://www.amazon.com/s?k=Electronics+solder+and+flux,Use suitable ventilation.,15.0,15.0,Estimated; Alanah to select or mark existing
FUTURE PURCHASE,Fabrication,Wire stripper side cutters ratcheting crimper and heat-shrink kit,1,Future support purchase,Required for safe repeatable harness fabrication,https://www.amazon.com/s?k=Wire+stripper+side+cutters+ratcheting+crimper+and+heat-shrink+kit,Confirm crimper dies match selected terminals.,45.0,45.0,Estimated; Alanah to select or mark existing
FUTURE PURCHASE,Assembly tools,Metric hex drivers and small screwdrivers,1,Future support purchase,KDY frame uses M3 M4 and M5 hardware,https://www.amazon.com/s?k=Metric+hex+drivers+and+small+screwdrivers,Use correctly sized drivers to avoid stripped fasteners.,15.0,15.0,Estimated; Alanah to select or mark existing
FUTURE PURCHASE,Workstation,Beelink SER5 Pro-class mini PC,1,Future explicit addition,Explicitly placed in the future phase rather than the Mike base BOM,https://www.newegg.com/,Dedicated ROS 2 Humble MuJoCo RViz and development workstation.,389.95,389.95,Reference estimate; obtain exact quote
FUTURE PURCHASE,Optional display,16x2 I2C LCD panel,1,Optional,Mike4192 explicitly lists the LCD as optional,https://www.amazon.com/s?k=16x2+I2C+LCD+panel,Used by lcd_monitor.,6.49,6.49,Reference estimate
FUTURE PURCHASE,Optional lidar,RPLidar A1 development kit,1,Optional for SLAM,Mike4192 hardware list and SLAM documentation,https://www.amazon.com/s?k=RPLidar+A1+development+kit,Verify adapter and cable are included.,103.12,103.12,Reference estimate
FUTURE PURCHASE,Mechanical upgrade,Modified reinforced-shoulder STL set,1 robot set,Optional,Mike additional-hardware document,https://www.thingiverse.com/thing:4591999,Print two mirrored sets; local STL is not presently stored.,0.0,0.0,STL retrieval required
FUTURE PURCHASE,Shoulder hardware,Additional M3x10 screws,8,Required with reinforced shoulders,Mike exact additional quantity,https://www.amazon.com/s?k=Additional+M3x10+screws,May be covered by a sufficiently large base screw pack.,0.0,0.0,Verify pack quantity
FUTURE PURCHASE,Shoulder hardware,Additional M3 nuts,8,Required with reinforced shoulders,Mike exact additional quantity,https://www.amazon.com/s?k=Additional+M3+nuts,May be covered by a sufficiently large base nut pack.,0.0,0.0,Verify pack quantity
FUTURE PURCHASE,Shoulder hardware,Additional F625ZZ bearings,4,Required with reinforced shoulders,Mike exact additional quantity,https://www.amazon.com/s?k=Additional+F625ZZ+bearings,None,1.0,4.0,Estimate
FUTURE PURCHASE,Electronics platforms,Pi 3 and PCA9685 printed-platform STL set,1 set,Optional convenience mounts,Mike additional-hardware document,https://www.thingiverse.com/thing:4596267,Designed for Pi 3; Pi 4 and Pi 5 require separate mounting CAD.,0.0,0.0,STL retrieval required
FUTURE PURCHASE,Platform hardware,Small self-tapping screws,1 assortment,Required with electronics platforms,Mike documented attachment method,https://www.amazon.com/s?k=Small+self-tapping+screws,Exact dimensions are not specified.,8.0,8.0,Estimate
FUTURE PURCHASE,Platform material,Double-sided foam tape,1 roll,Required with documented platforms,Mike documented attachment method,https://www.amazon.com/s?k=Double-sided+foam+tape,For nonstructural platform attachment.,8.0,8.0,Estimate
FUTURE PURCHASE,Lidar mount,RPLidar A1 platform and adapter STL set,1 set,Required for robot-mounted lidar,Mike additional-hardware document,https://www.thingiverse.com/thing:4713180,Local STL is not presently stored.,0.0,0.0,STL retrieval required
FUTURE PURCHASE,Lidar mount hardware,M2.5x8 screws,4,Required with lidar mount,Mike exact size and quantity,https://www.amazon.com/s?k=M2.5x8+screws,None,7.0,7.0,Pack estimate
FUTURE PURCHASE,Lidar mount hardware,Small self-tapping screws and foam tape,1 set,Required with lidar platform,Mike documented attachment method,https://www.amazon.com/s?k=Small+self-tapping+screws+and+foam+tape,May be covered by the electronics-platform supplies.,0.0,0.0,Verify shared supplies
FUTURE PURCHASE,ROS2 physical port,ROS 2 Humble PCA9685 hardware driver,1 implementation,Required before physical ROS2 control,Cometyang provides interfaces and simulation but not a validated physical PCA9685 driver,docs/PROJECT_MAP.md,Engineering work rather than a purchase.,0.0,0.0,Implementation and validation required
FUTURE PURCHASE,ROS2 physical port,Pi 4 or Pi 5 robot regulator and power integration,1 design,Required before modern-Pi installation,Mike's HKU5 design is documented for Pi 3 and cannot be assumed sufficient for newer Pis,None,Validate voltage current transients ripple heat wiring and common ground.,0.0,0.0,Engineering selection pending
FUTURE PURCHASE,ROS2 physical port,Pi 4 or Pi 5 robot mounting platform,1 design,Required before modern-Pi installation,Mike's existing platform is Pi 3-specific,None,Create CAD with cooling connector battery and lidar clearance.,0.0,0.0,CAD work pending
FUTURE PURCHASE TOTAL,TOTAL,Future known-cost subtotal,1,Pending quotes,Sum of priced future rows,,Includes all support items moved out of Initial Purchase.,,1021.06,Calculated estimate
